r,GT_mean,GT_sd,Gen_mean,Gen_sd,AbsDiff_mean_curves
34,0.5468755413168745,0.024435257666456274,0.07580521921316784,0.01020597243425828,0.4710703221037067
35,0.545853805302838,0.024565951373187737,0.07518962919712069,0.010082095376483429,0.4706641761057173
36,0.5449281549196183,0.02469540128963867,0.07463415682315827,0.00997117920955928,0.47029399809646005
37,0.5440934001479618,0.02482283895685726,0.07413202444712322,0.009872866207734183,0.4699613757008386
38,0.5433424464714385,0.02494795320152917,0.07368148326873782,0.009787071629678217,0.4696609632027007
39,0.5426685239797755,0.025070148517727316,0.07328347285588585,0.009712894752585261,0.4693850511238896
40,0.542065725374369,0.02518876896819277,0.07294005433718363,0.009649431156302719,0.4691256710371854
41,0.5415277883962349,0.025303390729124138,0.07264999369780224,0.009594283151851155,0.4688777946984327
42,0.5410487130284312,0.02541297805058327,0.07241263230641679,0.009546728105227754,0.46863608072201435
43,0.5406243065257135,0.02551667799065031,0.07222318232059481,0.009506005218263308,0.46840112420511865
44,0.5402497581125775,0.025614921945079746,0.07207623402277628,0.00947064565555485,0.4681735240898012
45,0.5399202042155797,0.025707106742541796,0.07196363965670269,0.009441500175769113,0.467956564558877
46,0.5396314647830565,0.025795484325375272,0.07187729895114897,0.00941841591644227,0.4677541658319075
47,0.539380540634379,0.025880115339400888,0.07180924812952678,0.009401523825995078,0.46757129250485224
48,0.5391653146088858,0.025960983455163844,0.07175395131111145,0.009388849490611865,0.4674113632977744
49,0.5389839438376604,0.026038250165878286,0.07170708417892453,0.009380559662113274,0.46727685965873583
50,0.5388343183346737,0.026112464569027244,0.07166586458683014,0.009377409931686545,0.46716845374784355
51,0.5387128264999683,0.026183358865546364,0.07163001219431561,0.009376815917393238,0.4670828143056527
52,0.5386147006978222,0.026250263746175773,0.071597118973732,0.009377937051961818,0.46701758172409025
53,0.5385370171732377,0.026312457427343405,0.07156857132911683,0.009380668271635627,0.46696844584412084
54,0.5384782412905753,0.02636882037539083,0.0715456728140513,0.009383969511699206,0.466932568476524
55,0.538435456837401,0.026419860306235284,0.07152998268604277,0.009388525457186292,0.46690547415135825
56,0.5384074708929769,0.026465801290488537,0.07152060627937315,0.009393334868214151,0.46688686461360374
57,0.53839101522793,0.02650720399922177,0.07151738206545512,0.009397395314694,0.4668736331624749
